"Subj","File","Word","Consonant","MinIntensity","Vowel","MaxIntensity","IntensityDifference","test_perc","test_cefr","Context"
"226","fcd260603","fcd260603_t1.wav","DICE","d",50.2467874368603,"i",66.613881109248,16.3670936723877,40,"B1","initial"
"227","fcd260603","fcd260603_t1.wav","ORGULLOSO","g",45.1880921467634,"u",63.7751303867855,18.5870382400221,40,"B1","medial"
"228","fcd260603","fcd260603_t1.wav","DISFRUTEN","d",49.8575541761714,"i",61.0436617256506,11.1861075494792,40,"B1","initial"
"229","fcd260603","fcd260603_t1.wav","DEPORTE","d",60.2624043771332,"e",64.0669581157916,3.80455373865844,40,"B1","initial"
"230","fcd260603","fcd260603_t1.wav","DICE","d",63.9394212692714,"i",64.7427174842586,0.803296214987178,40,"B1","initial"
"231","fcd260603","fcd260603_t2.wav","HABITANTES","b",45.7697867634737,"i",65.3792263397574,19.6094395762837,40,"B1","medial"
"232","fcd260603","fcd260603_t2.wav","DE","d",16.4223731802782,"e",65.2780594889058,48.8556863086276,40,"B1","initial"
"233","fcd260603","fcd260603_t2.wav","IBÉRICA","b",58.7381959728771,"e",63.5963677327,4.85817175982289,40,"B1","medial"
"234","fcd260603","fcd260603_t2.wav","TRIBUS","b",58.2243349289341,"u",64.0015546673102,5.77721973837613,40,"B1","medial"
"236","fcd260603","fcd260603_t2.wav","CELTÍBERAS","b",54.9040430337484,"e",68.5682856327434,13.6642425989951,40,"B1","medial"
"237","fcd260603","fcd260603_t2.wav","DE","d",67.0201583828579,"e",66.7366532402376,-0.283505142620299,40,"B1","initial"
"238","fcd260603","fcd260603_t2.wav","BIEN","b",57.2683863644682,"i",65.0855094445612,7.817123080093,40,"B1","initial"
"239","fcd260603","fcd260603_t2.wav","CONOCIDO","d",56.6716553340169,"o",61.3046814624814,4.63302612846459,40,"B1","medial"
"240","fcd260603","fcd260603_t2.wav","SIGLO","g",56.6333164564675,"l",67.2956641510878,10.6623476946202,40,"B1","medial"
"241","fcd260603","fcd260603_t2.wav","DE","d",18.150206407369,"e",63.7855274580381,45.6353210506691,40,"B1","initial"
"242","fcd260603","fcd260603_t2.wav","LLEGARON","g",61.9112872877386,"a",70.5819500955191,8.67066280778047,40,"B1","medial"
"244","fcd260603","fcd260603_t2.wav","ESTABLECIERON","b",64.8915423619021,"l",67.0014778498333,2.10993548793114,40,"B1","medial"
